Date,Net Worth,Action
2023-04-19 00:01:00,14483.748903475584,0
2023-04-19 00:09:00,14483.746465425402,1
2023-04-19 00:10:00,14483.746976511105,1
2023-04-19 00:11:00,14483.746587981364,1
2023-04-19 00:15:00,14483.746605674936,0
2023-04-19 00:21:00,14483.746627722934,1
2023-04-19 00:22:00,14483.746633520403,2
2023-04-19 00:23:00,14483.695430427213,0
2023-04-19 00:25:00,14483.691310201213,0
2023-04-19 00:26:00,14483.768361815253,0
2023-04-19 00:27:00,14483.499378832988,1
2023-04-19 00:29:00,14483.684267279077,2
2023-04-19 00:31:00,14483.45665224291,0
2023-04-19 00:34:00,14483.622115430575,1
2023-04-19 00:38:00,14483.375108078097,1
2023-04-19 00:39:00,14483.539221172954,2
2023-04-19 00:41:00,14483.553414737915,1
2023-04-19 00:45:00,14483.46115656567,2
2023-04-19 00:46:00,14483.584463161265,2
2023-04-19 00:48:00,14483.624081430824,1
2023-04-19 00:49:00,14483.596600144057,0
2023-04-19 00:50:00,14483.472638706591,0
2023-04-19 00:58:00,14483.466305922091,2
2023-04-19 01:01:00,14483.327889346583,2
2023-04-19 01:03:00,14483.591152245097,2
2023-04-19 01:08:00,14483.384200247825,0
2023-04-19 01:19:00,14483.597210851323,0
2023-04-19 01:26:00,14483.345294116163,1
2023-04-19 01:31:00,14483.441777643768,2
2023-04-19 01:32:00,14483.351738231866,0
2023-04-19 01:36:00,14482.971577319364,2
2023-04-19 01:40:00,14482.859103676612,2
2023-04-19 01:41:00,14482.699391103904,2
2023-04-19 01:42:00,14482.83660894806,2
2023-04-19 01:43:00,14482.919653369814,0
2023-04-19 01:45:00,14482.904401102336,0
2023-04-19 01:46:00,14482.918125668926,2
2023-04-19 01:52:00,14482.918125668926,2
2023-04-19 01:55:00,14482.918009418896,0
2023-04-19 02:00:00,14483.037832866965,0
2023-04-19 02:04:00,14482.832157582274,2
2023-04-19 02:06:00,14483.092090764154,2
2023-04-19 02:13:00,14483.085499152374,0
2023-04-19 02:18:00,14483.004998455777,0
2023-04-19 02:22:00,14482.594846794309,1
2023-04-19 02:23:00,14482.598366306287,0
2023-04-19 02:26:00,14483.365619917391,2
2023-04-19 02:27:00,14482.744921471844,1
2023-04-19 02:29:00,14482.982174335226,1
2023-04-19 02:32:00,14483.202579800198,1
2023-04-19 02:36:00,14483.181985312298,2
2023-04-19 02:38:00,14482.749232842882,1
2023-04-19 02:39:00,14482.749232842882,2
2023-04-19 02:40:00,14483.026828834898,2
2023-04-19 02:42:00,14482.396240408589,2
2023-04-19 02:44:00,14482.935703478315,1
2023-04-19 02:46:00,14482.842689665104,1
2023-04-19 02:47:00,14482.666737841279,1
2023-04-19 02:48:00,14482.633034686827,0
2023-04-19 02:49:00,14482.503283954773,2
2023-04-19 02:50:00,14482.59481623729,1
2023-04-19 02:51:00,14482.56712369263,1
2023-04-19 02:52:00,14482.588397720872,0
2023-04-19 02:53:00,14482.575196829033,2
2023-04-19 02:55:00,14481.941554020705,2
2023-04-19 02:57:00,14481.928002141025,1
2023-04-19 03:10:00,14481.700766799615,2
2023-04-19 03:12:00,14480.56899594552,0
2023-04-19 03:14:00,14484.027941278538,2
2023-04-19 03:16:00,14481.223011452976,0
2023-04-19 03:18:00,14479.633284839108,2
2023-04-19 03:19:00,14480.3959346673,1
2023-04-19 03:26:00,14482.670729431738,0
2023-04-19 03:27:00,14480.410596664458,1
2023-04-19 03:29:00,14480.740784397101,2
2023-04-19 03:30:00,14477.93418866965,0
2023-04-19 03:31:00,14477.920352384874,1
2023-04-19 03:33:00,14479.076371094076,1
2023-04-19 03:39:00,14479.457068848284,0
2023-04-19 03:41:00,14479.279533564895,0
2023-04-19 03:52:00,14479.566750764217,0
2023-04-19 03:54:00,14479.447528530536,2
